grid_id,cnt_store,cnt_112,cnt_5crime,cnt_cctv,cnt_patrol,sigungu,x_center,y_center
나라114339,1,2,0,0,0,신안군,811450.0,1633950.0
나라114340,24,3,0,0,1,신안군,811450.0,1634050.0
나라115339,2,0,0,0,0,신안군,811550.0,1633950.0
나라115340,3,1,0,7,0,신안군,811550.0,1634050.0
나라115341,10,4,0,0,0,신안군,811550.0,1634150.0
나라115342,9,1,0,0,1,신안군,811550.0,1634250.0
나라115399,2,0,0,0,0,신안군,811550.0,1639950.0
나라116341,2,0,0,0,0,신안군,811650.0,1634150.0
나라116342,18,2,0,0,1,신안군,811650.0,1634250.0
나라116348,1,0,0,0,0,신안군,811650.0,1634850.0
나라116398,2,0,0,0,0,신안군,811650.0,1639850.0
나라116399,2,1,0,0,0,신안군,811650.0,1639950.0
나라116400,3,0,0,0,0,신안군,811650.0,1640050.0
나라117342,7,7,0,2,1,신안군,811750.0,1634250.0
나라117343,13,3,1,0,1,신안군,811750.0,1634350.0
나라117344,3,1,1,2,0,신안군,811750.0,1634450.0
나라117345,1,0,0,0,0,신안군,811750.0,1634550.0
나라117398,1,0,0,0,0,신안군,811750.0,1639850.0
나라118342,14,0,0,0,0,신안군,811850.0,1634250.0
나라118343,11,1,1,0,0,신안군,811850.0,1634350.0
나라118346,2,0,0,0,0,신안군,811850.0,1634650.0
나라118398,1,0,0,0,0,신안군,811850.0,1639850.0
나라119400,1,0,0,0,0,신안군,811950.0,1640050.0
나라127385,1,0,0,0,0,신안군,812750.0,1638550.0
나라130382,1,0,0,0,0,신안군,813050.0,1638250.0
나라132383,1,1,0,0,0,신안군,813250.0,1638350.0
나라133383,1,0,0,0,0,신안군,813350.0,1638350.0
나라135392,2,2,0,0,0,신안군,813550.0,1639250.0
나라136305,2,0,0,0,0,신안군,813650.0,1630550.0
나라136392,1,1,0,0,0,신안군,813650.0,1639250.0
나라137392,1,0,0,0,0,신안군,813750.0,1639250.0
나라465245,1,0,0,0,0,신안군,846550.0,1624550.0
나라465246,2,0,0,0,0,신안군,846550.0,1624650.0
나라465247,1,0,0,0,0,신안군,846550.0,1624750.0
나라466246,3,0,0,0,0,신안군,846650.0,1624650.0
나라488261,1,0,0,0,0,신안군,848850.0,1626150.0
나라489261,1,0,0,0,0,신안군,848950.0,1626150.0
나라489262,4,0,1,0,0,신안군,848950.0,1626250.0
나라491264,2,0,0,0,0,신안군,849150.0,1626450.0
나라535397,1,0,0,0,0,신안군,853550.0,1639750.0
나라535399,1,0,0,0,0,신안군,853550.0,1639950.0
나라537382,1,0,0,0,0,신안군,853750.0,1638250.0
나라537418,1,0,0,0,0,신안군,853750.0,1641850.0
나라538382,1,0,0,0,0,신안군,853850.0,1638250.0
나라543434,1,0,0,0,0,신안군,854350.0,1643450.0
나라546434,1,0,0,0,0,신안군,854650.0,1643450.0
나라547393,1,0,0,0,0,신안군,854750.0,1639350.0
나라547434,1,0,0,0,0,신안군,854750.0,1643450.0
나라548434,2,3,0,0,0,신안군,854850.0,1643450.0
나라552418,1,0,0,1,1,신안군,855250.0,1641850.0
나라552432,1,0,0,0,0,신안군,855250.0,1643250.0
나라552434,1,0,0,0,0,신안군,855250.0,1643450.0
나라553430,2,1,0,0,0,신안군,855350.0,1643050.0
나라557359,1,0,1,0,0,신안군,855750.0,1635950.0
