grid_id,cnt_store,cnt_112,cnt_5crime,cnt_cctv,cnt_patrol,sigungu,x_center,y_center,hotspot,z_112,z_5crime,z_cctv,z_patrol,need_score,rank_in_sigungu
다라352253,6,1,0,0,0,강진군,935250.0,1625350.0,True,-0.7938032036398741,-0.67700320038633,-0.7510409442899902,-0.4343722427630695,-0.8780998104996742,35
다라335274,6,1,0,0,0,강진군,933550.0,1627450.0,True,-0.7938032036398741,-0.67700320038633,-0.7510409442899902,-0.4343722427630695,-0.8780998104996742,35
다라327274,6,2,1,2,0,강진군,932750.0,1627450.0,True,-0.6694012090395953,-0.030772872744833216,0.9091548272984092,-0.4343722427630695,-0.9375653740520984,36
다라373066,13,0,0,0,0,강진군,937350.0,1606650.0,True,-0.9182051982401529,-0.67700320038633,-0.7510409442899902,-0.4343722427630695,-1.002501805099953,37
다라2813,8,0,0,0,0,강진군,928500.0,1613500.0,True,-0.9182051982401529,-0.67700320038633,-0.7510409442899902,-0.4343722427630695,-1.002501805099953,37
다라327275,6,0,0,0,0,강진군,932750.0,1627550.0,True,-0.9182051982401529,-0.67700320038633,-0.7510409442899902,-0.4343722427630695,-1.002501805099953,37
다라328269,6,0,0,0,0,강진군,932850.0,1626950.0,True,-0.9182051982401529,-0.67700320038633,-0.7510409442899902,-0.4343722427630695,-1.002501805099953,37
다라376063,6,0,0,0,0,강진군,937650.0,1606350.0,True,-0.9182051982401529,-0.67700320038633,-0.7510409442899902,-0.4343722427630695,-1.002501805099953,37
다라327269,6,0,0,0,0,강진군,932750.0,1626950.0,True,-0.9182051982401529,-0.67700320038633,-0.7510409442899902,-0.4343722427630695,-1.002501805099953,37
다라326274,12,3,0,1,0,강진군,932650.0,1627450.0,True,-0.5449992144393165,-0.67700320038633,0.07905694150420949,-0.4343722427630695,-1.0443447641962165,38
다라377063,10,5,1,0,1,강진군,937750.0,1606350.0,True,-0.296195225238759,-0.030772872744833216,-0.7510409442899902,2.3021728866442683,-1.1025340691607313,39
다라372064,13,10,0,0,1,강진군,937250.0,1606450.0,True,0.3258147477626348,-0.67700320038633,-0.7510409442899902,2.3021728866442683,-1.1267544238008342,40
다라330276,11,9,0,3,0,강진군,933050.0,1627650.0,True,0.20141275316235605,-0.67700320038633,1.739252713092609,-0.4343722427630695,-1.1280306823887438,41
다라291169,6,2,0,1,0,강진군,929150.0,1616950.0,True,-0.6694012090395953,-0.67700320038633,0.07905694150420949,-0.4343722427630695,-1.1687467587964953,42
다라329276,6,1,0,1,0,강진군,932950.0,1627650.0,True,-0.7938032036398741,-0.67700320038633,0.07905694150420949,-0.4343722427630695,-1.293148753396774,43
다라334276,16,4,2,2,1,강진군,933450.0,1627650.0,True,-0.4205972198390378,0.6154574548966636,0.9091548272984092,2.3021728866442683,-1.410803621913713,44
다라331271,6,0,0,1,0,강진군,933150.0,1627150.0,True,-0.9182051982401529,-0.67700320038633,0.07905694150420949,-0.4343722427630695,-1.4175507479970528,45
다라335275,10,3,0,2,0,강진군,933550.0,1627550.0,True,-0.5449992144393165,-0.67700320038633,0.9091548272984092,-0.4343722427630695,-1.4593937070933165,46
다라332279,8,0,0,2,0,강진군,933250.0,1627950.0,True,-0.9182051982401529,-0.67700320038633,0.9091548272984092,-0.4343722427630695,-1.8325996908941529,47
다라348159,8,2,0,0,1,강진군,934850.0,1615950.0,True,-0.6694012090395953,-0.67700320038633,-0.7510409442899902,2.3021728866442683,-2.1219703806030643,48
다라325273,22,5,0,1,1,강진군,932550.0,1627350.0,True,-0.296195225238759,-0.67700320038633,0.07905694150420949,2.3021728866442683,-2.1638133396993275,49
다라275332,8,2,0,1,1,강진군,927550.0,1633250.0,True,-0.6694012090395953,-0.67700320038633,0.07905694150420949,2.3021728866442683,-2.5370193235001643,50
다라372066,7,1,0,1,1,강진군,937250.0,1606650.0,True,-0.7938032036398741,-0.67700320038633,0.07905694150420949,2.3021728866442683,-2.6614213181004427,51
다라274333,7,2,1,4,1,강진군,927450.0,1633350.0,True,-0.6694012090395953,-0.030772872744833216,2.5693505988868086,2.3021728866442683,-3.135935824549967,52
다라799236,16,32,3,3,0,고흥군,979950.0,1623650.0,True,1.9645454187460403,3.1709464555361584,-0.031382057981079466,-0.5979513685996171,5.450158587572547,1
다라805238,12,69,0,4,0,고흥군,980550.0,1623850.0,True,5.13804186441272,-0.5148400149209998,0.29812955082025455,-0.5979513685996171,4.7731127583814015,2
다라665146,16,16,3,0,0,고흥군,966550.0,1614650.0,True,0.592222631430719,3.1709464555361584,-1.0199168843850814,-0.5979513685996171,4.5721032134592265,3
다라799237,45,49,3,8,2,고흥군,979950.0,1623750.0,True,3.422638380268569,3.1709464555361584,1.6161759860255906,2.6217867700137054,4.474603457785079,4
다라670145,7,9,3,4,0,고흥군,967050.0,1614550.0,True,-0.008168588019734026,3.1709464555361584,0.29812955082025455,-0.5979513685996171,3.3126887764061053,5
다라805237,30,28,2,8,0,고흥군,980550.0,1623750.0,True,1.6214647219172098,1.9423509653837723,1.6161759860255906,-0.5979513685996171,3.0547033785879956,6
다라665147,20,21,3,8,1,고흥군,966550.0,1614750.0,True,1.021073502466757,3.1709464555361584,1.6161759860255906,1.0119177007070443,2.877973114636598,7
다라798234,18,15,2,4,0,고흥군,979850.0,1623450.0,True,0.5064524572235114,1.9423509653837723,0.29812955082025455,-0.5979513685996171,2.5987143314969647,8
다라805239,14,4,3,3,1,고흥군,980550.0,1623950.0,True,-0.4370194590557719,3.1709464555361584,-0.031382057981079466,1.0119177007070443,2.243659175117404,9
다라667149,26,7,2,3,0,고흥군,966750.0,1614950.0,True,-0.17970893643414917,1.9423509653837723,-0.031382057981079466,-0.5979513685996171,2.077308742239971,10
다라804238,44,17,1,1,0,고흥군,980450.0,1623850.0,True,0.6779928056379266,0.7137554752313862,-0.6904052755837475,-0.5979513685996171,2.0359266029609953,11
다라801236,19,24,1,5,0,고흥군,980150.0,1623650.0,True,1.2783840250883796,0.7137554752313862,0.6276411596215885,-0.5979513685996171,1.97729460480878,12
다라664149,36,13,1,0,0,고흥군,966450.0,1614950.0,True,0.3349121088090963,0.7137554752313862,-1.0199168843850814,-0.5979513685996171,1.8576017105328317,13
다라802237,50,20,2,14,0,고흥군,980250.0,1623750.0,True,0.9353033282595493,1.9423509653837723,3.593245638833595,-0.5979513685996171,1.380007158526333,14
다라665149,18,64,0,13,2,고흥군,966550.0,1614950.0,True,4.709190993376683,-0.5148400149209998,3.2637340300322606,2.6217867700137054,1.2515905784326997,15
다라796237,11,6,1,1,0,고흥군,979650.0,1623750.0,True,-0.26547911064135676,0.7137554752313862,-0.6904052755837475,-0.5979513685996171,1.0924546866817118,16
