grid_id,cnt_112,cnt_cctv,cnt_patrol,env_score
다라251233,0,0,0,1.0
다라251234,0,0,0,1.0
다라251331,0,0,0,1.0
다라251332,0,0,0,1.0
다라251333,0,0,0,1.0
다라251334,0,0,0,1.0
다라251335,0,0,0,1.0
다라251336,0,0,0,1.0
다라251337,0,0,0,1.0
다라251338,0,0,0,1.0
다라251339,0,0,0,1.0
다라251340,1,0,0,1.1831692509136336
다라251341,0,0,0,1.0
다라251342,0,0,0,1.0
다라251343,0,0,0,1.0
다라251344,0,0,0,1.0
다라251345,0,0,0,1.0
다라251346,0,0,0,1.0
다라251379,0,0,0,1.0
다라251380,0,0,0,1.0
다라251381,0,0,0,1.0
다라251382,0,0,0,1.0
다라251383,0,0,0,1.0
다라252086,0,0,0,1.0
다라252087,0,0,0,1.0
다라252088,0,0,0,1.0
다라252089,0,0,0,1.0
다라252090,0,0,0,1.0
다라252091,0,0,0,1.0
다라252092,0,0,0,1.0
다라252093,0,0,0,1.0
다라252094,0,0,0,1.0
다라252095,0,0,0,1.0
다라252096,0,0,0,1.0
다라252097,0,0,0,1.0
다라252098,0,0,0,1.0
다라252099,0,0,0,1.0
다라252100,0,0,0,1.0
다라252101,0,0,0,1.0
다라252102,0,0,0,1.0
다라252103,0,0,0,1.0
다라252104,0,0,0,1.0
다라252105,0,0,0,1.0
다라252106,0,0,0,1.0
다라252107,0,0,0,1.0
다라252108,0,0,0,1.0
다라252109,0,0,0,1.0
다라252110,0,0,0,1.0
다라252111,0,0,0,1.0
다라252112,0,0,0,1.0
다라252113,0,0,0,1.0
다라252114,0,0,0,1.0
다라252115,0,0,0,1.0
다라252116,0,0,0,1.0
다라252117,0,0,0,1.0
다라252118,0,0,0,1.0
다라252123,0,0,0,1.0
다라252124,0,0,0,1.0
다라252162,0,0,0,1.0
다라252169,0,0,0,1.0
다라252170,0,0,0,1.0
다라252171,0,0,0,1.0
다라252172,0,0,0,1.0
다라252204,0,0,0,1.0
다라252205,0,0,0,1.0
다라252209,0,0,0,1.0
다라252210,0,0,0,1.0
다라252211,0,0,0,1.0
다라252212,0,0,0,1.0
다라252214,0,0,0,1.0
다라252215,0,0,0,1.0
다라252216,0,0,0,1.0
다라252217,0,0,0,1.0
다라252218,0,0,0,1.0
다라252219,0,0,0,1.0
다라252220,0,0,0,1.0
다라252221,0,0,0,1.0
다라252222,0,0,0,1.0
다라252223,0,0,0,1.0
다라252224,0,0,0,1.0
다라252225,0,0,0,1.0
다라252226,0,0,0,1.0
다라252227,0,0,0,1.0
다라252228,0,0,0,1.0
다라252229,0,0,0,1.0
다라252230,0,0,0,1.0
다라252231,0,0,0,1.0
다라252232,0,0,0,1.0
다라252233,0,0,0,1.0
다라252234,0,0,0,1.0
다라252235,0,0,0,1.0
다라252236,0,0,0,1.0
다라252328,0,0,0,1.0
다라252331,0,0,0,1.0
다라252332,0,0,0,1.0
다라252333,0,0,0,1.0
다라252334,0,0,0,1.0
다라252335,0,0,0,1.0
다라252336,0,1,0,0.6845351232142713
다라252337,0,1,0,0.6845351232142713
다라252338,0,0,0,1.0
다라252339,0,0,0,1.0
다라252340,0,0,0,1.0
다라252341,0,0,0,1.0
다라252342,0,0,0,1.0
다라252343,0,0,0,1.0
다라252344,0,0,0,1.0
다라252345,0,0,0,1.0
다라252348,0,0,0,1.0
다라252379,0,0,0,1.0
다라252380,0,0,0,1.0
다라252381,0,0,0,1.0
다라252382,0,0,0,1.0
다라252383,0,0,0,1.0
다라252384,0,0,0,1.0
다라253086,0,0,0,1.0
다라253087,0,0,0,1.0
다라253088,0,0,0,1.0
다라253089,0,0,0,1.0
다라253090,0,0,0,1.0
다라253091,0,0,0,1.0
다라253092,0,0,0,1.0
다라253093,0,0,0,1.0
다라253094,0,0,0,1.0
다라253095,0,0,0,1.0
다라253096,0,0,0,1.0
다라253097,0,0,0,1.0
다라253098,0,0,0,1.0
다라253099,0,0,0,1.0
다라253100,0,0,0,1.0
다라253101,0,0,0,1.0
다라253102,0,0,0,1.0
다라253103,0,0,0,1.0
다라253104,0,0,0,1.0
다라253105,0,0,0,1.0
다라253106,0,0,0,1.0
다라253107,0,0,0,1.0
다라253108,0,0,0,1.0
다라253109,0,0,0,1.0
다라253110,0,0,0,1.0
다라253111,0,0,0,1.0
다라253112,0,0,0,1.0
다라253113,0,0,0,1.0
다라253114,0,0,0,1.0
다라253115,0,0,0,1.0
다라253116,0,0,0,1.0
다라253117,0,0,0,1.0
다라253118,0,0,0,1.0
다라253119,0,0,0,1.0
다라253120,0,0,0,1.0
다라253121,0,0,0,1.0
다라253122,0,0,0,1.0
다라253123,0,0,0,1.0
다라253124,0,0,0,1.0
다라253169,0,0,0,1.0
다라253170,0,0,0,1.0
다라253171,0,0,0,1.0
다라253172,0,0,0,1.0
다라253173,0,0,0,1.0
다라253202,0,0,0,1.0
다라253203,0,1,0,0.6845351232142713
다라253204,0,0,0,1.0
다라253207,0,0,0,1.0
다라253208,0,0,0,1.0
다라253209,0,0,0,1.0
다라253210,0,0,0,1.0
다라253211,0,0,0,1.0
다라253212,0,0,0,1.0
다라253213,0,0,0,1.0
다라253214,0,0,0,1.0
다라253215,0,0,0,1.0
다라253216,0,0,0,1.0
다라253217,0,0,0,1.0
다라253218,0,0,0,1.0
다라253219,0,0,0,1.0
다라253220,0,0,0,1.0
다라253221,0,0,0,1.0
다라253222,0,0,0,1.0
다라253223,0,0,0,1.0
다라253224,0,0,0,1.0
다라253225,0,0,0,1.0
다라253226,0,0,0,1.0
다라253227,0,0,0,1.0
다라253228,0,0,0,1.0
다라253229,0,0,0,1.0
다라253230,0,0,0,1.0
다라253231,0,0,0,1.0
다라253232,0,0,0,1.0
다라253233,0,0,0,1.0
다라253234,0,0,0,1.0
다라253235,0,0,0,1.0
다라253236,0,0,0,1.0
다라253237,0,0,0,1.0
다라253328,0,0,0,1.0
다라253330,0,0,0,1.0
다라253331,0,0,0,1.0
다라253332,0,0,0,1.0
다라253333,0,0,0,1.0
다라253334,0,0,0,1.0
다라253335,0,0,0,1.0
다라253336,0,0,0,1.0
다라253337,0,0,0,1.0
다라253338,0,0,0,1.0
다라253339,0,0,0,1.0
다라253340,1,0,0,1.1831692509136336
다라253341,0,0,0,1.0
다라253344,0,0,0,1.0
다라253379,0,0,0,1.0
다라253380,0,0,0,1.0
다라253381,0,0,0,1.0
다라253382,0,0,0,1.0
다라253383,0,0,0,1.0
다라253400,0,0,0,1.0
다라254086,0,0,0,1.0
다라254087,0,0,0,1.0
다라254088,0,0,0,1.0
다라254089,0,0,0,1.0
다라254090,0,0,0,1.0
다라254091,0,0,0,1.0
다라254092,0,0,0,1.0
다라254093,0,0,0,1.0
다라254094,0,0,0,1.0
다라254095,0,0,0,1.0
다라254096,0,0,0,1.0
다라254097,0,0,0,1.0
다라254098,0,0,0,1.0
다라254099,0,0,0,1.0
다라254100,0,0,0,1.0
다라254101,0,0,0,1.0
다라254102,0,0,0,1.0
다라254103,0,0,0,1.0
다라254104,0,0,0,1.0
다라254105,0,0,0,1.0
다라254106,0,0,0,1.0
다라254107,0,0,0,1.0
다라254108,0,0,0,1.0
다라254109,0,0,0,1.0
다라254110,0,0,0,1.0
다라254111,0,0,0,1.0
다라254112,0,0,0,1.0
다라254116,0,0,0,1.0
다라254124,0,0,0,1.0
다라254169,0,0,0,1.0
다라254170,0,0,0,1.0
다라254171,0,0,0,1.0
다라254172,0,0,0,1.0
다라254173,0,0,0,1.0
다라254174,0,0,0,1.0
다라254202,0,0,0,1.0
다라254203,0,0,0,1.0
다라254204,0,0,0,1.0
다라254206,0,0,0,1.0
다라254207,0,0,0,1.0
다라254208,0,0,0,1.0
다라254209,0,0,0,1.0
다라254210,0,0,0,1.0
다라254211,0,0,0,1.0
다라254212,0,0,0,1.0
다라254213,0,0,0,1.0
다라254214,0,0,0,1.0
다라254215,0,0,0,1.0
다라254216,0,0,0,1.0
다라254217,0,0,0,1.0
다라254218,0,0,0,1.0
다라254219,0,0,0,1.0
다라254220,0,0,0,1.0
다라254221,0,0,0,1.0
다라254222,0,0,0,1.0
다라254223,0,0,0,1.0
다라254224,0,0,0,1.0
다라254225,0,0,0,1.0
다라254226,0,0,0,1.0
다라254227,0,0,0,1.0
다라254228,0,0,0,1.0
다라254229,0,0,0,1.0
다라254230,0,0,0,1.0
다라254231,0,0,0,1.0
다라254232,0,0,0,1.0
다라254233,0,0,0,1.0
다라254234,0,0,0,1.0
다라254235,0,0,0,1.0
다라254236,0,0,0,1.0
다라254237,0,0,0,1.0
다라254238,0,0,0,1.0
다라254271,0,0,0,1.0
다라254327,0,0,0,1.0
다라254328,0,0,0,1.0
다라254329,0,0,0,1.0
다라254330,0,0,0,1.0
다라254331,0,0,0,1.0
다라254332,0,0,0,1.0
다라254333,0,0,0,1.0
다라254334,0,0,0,1.0
다라254335,0,0,0,1.0
다라254336,0,0,0,1.0
다라254337,0,0,0,1.0
다라254338,0,0,0,1.0
다라254339,0,0,0,1.0
다라254340,0,0,0,1.0
다라254341,0,0,0,1.0
다라254342,0,0,0,1.0
다라254343,0,0,0,1.0
다라254344,0,0,0,1.0
다라254373,0,0,0,1.0
다라254377,0,0,0,1.0
다라254378,0,0,0,1.0
다라254379,0,0,0,1.0
다라254380,0,0,0,1.0
다라254381,0,0,0,1.0
다라254382,0,0,0,1.0
다라254383,0,0,0,1.0
다라254384,0,0,0,1.0
다라254385,0,0,0,1.0
다라254386,0,0,0,1.0
다라254387,0,0,0,1.0
다라254388,0,0,0,1.0
다라255085,0,0,0,1.0
다라255086,0,0,0,1.0
다라255087,0,0,0,1.0
다라255088,0,0,0,1.0
다라255089,0,0,0,1.0
다라255090,0,0,0,1.0
다라255091,0,0,0,1.0
다라255092,0,0,0,1.0
다라255093,0,0,0,1.0
다라255094,0,0,0,1.0
다라255095,0,0,0,1.0
다라255096,0,0,0,1.0
다라255097,0,0,0,1.0
다라255098,0,0,0,1.0
다라255099,1,0,0,1.1831692509136336
다라255100,0,0,0,1.0
다라255101,0,0,0,1.0
다라255102,0,0,0,1.0
다라255103,0,0,0,1.0
다라255104,0,0,0,1.0
다라255105,0,0,0,1.0
다라255106,0,0,0,1.0
다라255107,0,0,0,1.0
다라255108,0,0,0,1.0
다라255109,0,0,0,1.0
다라255110,0,0,0,1.0
다라255111,0,0,0,1.0
다라255114,0,0,0,1.0
다라255115,0,0,0,1.0
다라255116,0,0,0,1.0
다라255117,0,0,0,1.0
다라255135,0,0,0,1.0
다라255169,0,0,0,1.0
다라255170,0,0,0,1.0
다라255171,0,0,0,1.0
다라255172,0,0,0,1.0
다라255173,0,0,0,1.0
다라255174,0,0,0,1.0
다라255202,0,0,0,1.0
다라255203,0,0,0,1.0
다라255204,0,0,0,1.0
다라255205,0,0,0,1.0
다라255206,0,0,0,1.0
다라255207,0,0,0,1.0
다라255208,0,0,0,1.0
다라255209,0,0,0,1.0
다라255210,0,0,0,1.0
다라255211,0,0,0,1.0
다라255212,0,0,0,1.0
다라255213,0,0,0,1.0
다라255214,0,0,0,1.0
다라255215,0,0,0,1.0
다라255216,0,0,0,1.0
다라255217,0,0,0,1.0
다라255218,0,0,0,1.0
다라255219,0,0,0,1.0
다라255220,0,0,0,1.0
다라255221,0,0,0,1.0
다라255222,0,0,0,1.0
다라255223,0,0,0,1.0
다라255224,0,0,0,1.0
다라255225,0,0,0,1.0
다라255226,0,0,0,1.0
다라255227,0,0,0,1.0
다라255228,0,0,0,1.0
다라255229,0,0,0,1.0
다라255230,0,0,0,1.0
다라255231,0,0,0,1.0
다라255232,0,0,0,1.0
다라255233,0,0,0,1.0
다라255234,0,0,0,1.0
다라255235,0,0,0,1.0
다라255236,0,0,0,1.0
다라255237,0,0,0,1.0
다라255238,0,0,0,1.0
다라255239,0,0,0,1.0
다라255241,0,0,0,1.0
다라255271,0,0,0,1.0
다라255328,0,0,0,1.0
다라255329,0,0,0,1.0
다라255330,0,0,0,1.0
다라255331,0,0,0,1.0
다라255332,0,0,0,1.0
다라255333,0,0,0,1.0
다라255334,0,0,0,1.0
다라255335,0,0,0,1.0
다라255336,0,0,0,1.0
다라255337,0,0,0,1.0
다라255338,0,0,0,1.0
다라255339,0,0,0,1.0
다라255340,0,0,0,1.0
다라255341,0,0,0,1.0
다라255342,0,0,0,1.0
다라255361,0,0,0,1.0
다라255362,0,0,0,1.0
다라255363,0,0,0,1.0
다라255364,0,0,0,1.0
다라255365,0,0,0,1.0
다라255366,0,0,0,1.0
다라255368,0,0,0,1.0
다라255369,0,0,0,1.0
다라255373,0,0,0,1.0
다라255374,0,0,0,1.0
다라255377,0,0,0,1.0
다라255378,0,0,0,1.0
다라255379,0,0,0,1.0
다라255380,0,0,0,1.0
다라255381,0,0,0,1.0
다라255382,0,0,0,1.0
다라255383,0,0,0,1.0
다라255384,0,0,0,1.0
다라255385,0,0,0,1.0
다라255386,0,0,0,1.0
다라256086,0,0,0,1.0
다라256087,0,0,0,1.0
다라256088,0,0,0,1.0
다라256089,0,0,0,1.0
다라256090,0,0,0,1.0
다라256091,0,0,0,1.0
다라256092,0,0,0,1.0
다라256093,0,0,0,1.0
다라256094,0,0,0,1.0
다라256095,0,0,0,1.0
다라256096,0,0,0,1.0
다라256097,0,0,0,1.0
다라256098,0,0,0,1.0
다라256099,0,0,0,1.0
다라256100,0,0,0,1.0
다라256101,0,0,0,1.0
다라256102,0,0,0,1.0
다라256103,0,0,0,1.0
다라256104,0,0,0,1.0
다라256105,0,0,0,1.0
다라256106,0,0,0,1.0
다라256107,0,0,0,1.0
다라256108,0,0,0,1.0
다라256109,0,0,0,0.875
다라256110,0,0,0,1.0
다라256111,0,0,0,1.0
다라256113,0,0,0,1.0
다라256114,0,0,0,1.0
다라256115,0,0,0,1.0
다라256116,0,0,0,1.0
다라256117,0,0,0,1.0
다라256118,0,0,0,1.0
다라256119,0,0,0,1.0
다라256142,0,0,0,1.0
다라256143,0,0,0,1.0
다라256172,0,0,0,1.0
다라256173,0,0,0,1.0
다라256174,0,0,0,1.0
다라256175,0,0,0,1.0
다라256200,0,0,0,1.0
다라256201,0,0,0,1.0
다라256202,0,0,0,1.0
다라256203,0,0,0,1.0
다라256204,0,0,0,1.0
다라256205,0,0,0,1.0
다라256206,0,0,0,1.0
다라256207,0,0,0,1.0
다라256208,0,0,0,1.0
다라256209,0,0,0,1.0
다라256210,0,0,0,1.0
다라256211,0,0,0,1.0
다라256212,0,0,0,1.0
다라256213,0,0,0,1.0
